iter	Passed	Remaining
1111	32817	262302
1112	32845	262265
1113	32871	262206
1114	32901	262180
1115	32928	262132
1116	32955	262083
1117	32982	262033
1118	33010	261993
1119	33038	261945
1120	33065	261902
1121	33093	261859
1122	33123	261828
1123	33154	261813
1124	33181	261765
1125	33209	261724
1126	33238	261689
1127	33266	261650
1128	33294	261609
1129	33321	261559
1130	33347	261505
1131	33374	261453
1132	33402	261411
1133	33428	261355
1134	33455	261303
1135	33482	261258
1136	33510	261219
1137	33541	261198
1138	33566	261138
1139	33596	261109
1140	33623	261057
1141	33649	261006
1142	33678	260973
1143	33707	260939
1144	33735	260898
1145	33764	260861
1146	33790	260811
1147	33819	260776
1148	33848	260743
1149	33877	260712
1150	33904	260659
1151	33932	260619
1152	33959	260568
1153	33987	260529
1154	34012	260471
1155	34040	260425
1156	34066	260373
1157	34093	260325
1158	34121	260282
1159	34147	260226
1160	34176	260197
1161	34205	260161
1162	34234	260129
1163	34262	260090
1164	34289	260037
1165	34319	260015
1166	34347	259976
1167	34375	259932
1168	34403	259891
1169	34431	259857
1170	34458	259807
1171	34485	259758
1172	34512	259711
1173	34539	259664
1174	34567	259622
1175	34594	259574
1176	34623	259544
1177	34651	259502
1178	34677	259449
1179	34703	259395
1180	34732	259360
1181	34759	259314
1182	34787	259271
1183	34815	259235
1184	34844	259200
1185	34872	259161
1186	34899	259111
1187	34928	259083
1188	34956	259039
1189	34985	259009
1190	35013	258969
1191	35040	258925
1192	35066	258870
1193	35095	258833
1194	35120	258774
1195	35146	258720
1196	35173	258671
1197	35200	258630
1198	35226	258573
1199	35255	258537
1200	35282	258492
1201	35312	258467
1202	35339	258418
1203	35367	258379
1204	35392	258323
1205	35418	258268
1206	35444	258216
1207	35472	258174
1208	35500	258136
1209	35529	258101
1210	35555	258048
1211	35581	257998
1212	35607	257942
1213	35636	257906
1214	35664	257869
1215	35691	257825
1216	35717	257767
1217	35742	257711
1218	35769	257663
1219	35798	257631
1220	35823	257572
1221	35851	257533
1222	35878	257486
1223	35907	257457
1224	35934	257408
1225	35961	257363
1226	35989	257320
1227	36015	257271
1228	36041	257217
1229	36071	257193
1230	36098	257145
1231	36125	257101
1232	36153	257063
1233	36182	257032
1234	36216	257037
1235	36246	257011
1236	36274	256972
1237	36302	256933
1238	36331	256902
1239	36361	256873
1240	36390	256844
1241	36422	256833
1242	36450	256799
1243	36479	256767
1244	36508	256735
1245	36539	256715
1246	36567	256679
1247	36598	256661
1248	36626	256621
1249	36653	256574
1250	36682	256540
1251	36710	256500
1252	36737	256461
1253	36766	256427
1254	36796	256402
1255	36821	256345
1256	36850	256312
1257	36877	256263
1258	36905	256228
1259	36932	256182
1260	36958	256128
1261	36985	256086
1262	37013	256048
1263	37041	256009
1264	37070	255974
1265	37099	255946
1266	37129	255921
1267	37157	255883
1268	37185	255841
1269	37211	255790
1270	37244	255787
1271	37271	255743
1272	37298	255697
1273	37326	255661
1274	37353	255615
1275	37381	255577
1276	37410	255542
1277	37439	255515
1278	37466	255469
1279	37491	255411
1280	37517	255362
1281	37547	255331
1282	37575	255297
1283	37603	255257
1284	37628	255202
1285	37656	255160
1286	37683	255117
1287	37710	255070
1288	37736	255022
1289	37764	254986
1290	37790	254930
1291	37817	254884
1292	37843	254838
1293	37869	254786
1294	37896	254739
1295	37921	254685
1296	37946	254627
1297	37973	254580
1298	37998	254524
1299	38027	254490
1300	38055	254453
1301	38082	254408
1302	38108	254361
1303	38137	254324
1304	38164	254284
1305	38190	254231
1306	38218	254192
1307	38242	254133
1308	38270	254094
1309	38295	254039
1310	38323	253998
1311	38351	253958
1312	38378	253915
1313	38405	253872
1314	38432	253828
1315	38460	253792
1316	38488	253756
1317	38516	253719
1318	38542	253667
1319	38569	253623
1320	38598	253594
1321	38625	253546
1322	38649	253487
1323	38677	253445
1324	38704	253404
1325	38732	253365
1326	38758	253320
1327	38787	253289
1328	38817	253265
1329	38845	253226
1330	38871	253177
1331	38901	253153
1332	38931	253126
1333	38966	253133
1334	38997	253117
1335	39028	253100
1336	39056	253065
1337	39082	253014
1338	39109	252972
1339	39137	252931
1340	39164	252888
1341	39189	252836
1342	39217	252797
1343	39243	252745
1344	39272	252714
1345	39297	252660
1346	39324	252619
1347	39351	252573
1348	39382	252555
1349	39414	252543
1350	39445	252529
1351	39473	252492
1352	39501	252456
1353	39531	252427
1354	39558	252386
1355	39586	252352
1356	39620	252353
1357	39653	252342
1358	39682	252313
1359	39710	252280
1360	39738	252244
1361	39766	252207
1362	39795	252172
1363	39821	252123
1364	39847	252075
1365	39875	252037
1366	39901	251988
1367	39928	251947
1368	39956	251907
1369	39983	251864
1370	40012	251837
1371	40041	251804
1372	40068	251763
1373	40095	251719
1374	40123	251683
1375	40150	251641
1376	40178	251605
1377	40205	251559
1378	40231	251511
1379	40256	251457
1380	40285	251425
1381	40311	251376
1382	40338	251334
1383	40362	251273
1384	40390	251237
1385	40416	251189
1386	40442	251142
1387	40470	251103
1388	40498	251069
1389	40524	251015
1390	40550	250967
1391	40576	250918
1392	40603	250875
1393	40630	250838
1394	40660	250810
1395	40687	250770
1396	40714	250725
1397	40740	250678
1398	40765	250625
1399	40791	250579
1400	40818	250536
1401	40846	250500
1402	40872	250448
1403	40898	250402
1404	40926	250367
1405	40952	250318
1406	40979	250273
1407	41009	250253
1408	41037	250217
1409	41065	250182
1410	41093	250142
1411	41120	250100
1412	41146	250054
1413	41174	250017
1414	41200	249967
1415	41225	249916
1416	41252	249874
1417	41280	249836
1418	41308	249799
1419	41333	249747
1420	41360	249708
1421	41386	249656
1422	41414	249623
1423	41441	249578
1424	41467	249534
1425	41494	249490
1426	41520	249445
1427	41548	249407
1428	41579	249390
1429	41607	249351
1430	41632	249301
1431	41660	249263
1432	41688	249228
1433	41715	249187
1434	41742	249143
1435	41767	249095
1436	41794	249051
1437	41821	249007
1438	41848	248966
1439	41874	248921
1440	41900	248874
1441	41927	248831
1442	41954	248790
1443	41982	248754
1444	42013	248736
1445	42043	248712
1446	42073	248687
1447	42102	248658
1448	42130	248627
1449	42158	248590
1450	42187	248560
1451	42217	248536
1452	42245	248503
1453	42272	248459
1454	42300	248426
1455	42327	248380
1456	42353	248337
1457	42382	248305
1458	42411	248277
1459	42439	248244
1460	42468	248213
1461	42494	248163
1462	42520	248121
1463	42548	248085
1464	42576	248048
1465	42603	248006
1466	42632	247975
1467	42658	247933
1468	42688	247908
1469	42718	247883
