iter	RMSE
867	7.797883198
868	7.797733774
869	7.797628527
870	7.797489206
871	7.797371115
872	7.797240044
873	7.797140235
874	7.797009889
875	7.796893899
876	7.796776637
877	7.796635065
878	7.796473848
879	7.796352601
880	7.796200188
881	7.796061543
882	7.795931483
883	7.795787173
884	7.795667766
885	7.795538227
886	7.795403869
887	7.795273457
888	7.795129149
889	7.795008754
890	7.794875304
891	7.794753576
892	7.79463793
893	7.794524269
894	7.794385127
895	7.794272039
896	7.794138328
897	7.79400103
898	7.793864819
899	7.793735269
900	7.793619443
901	7.793479531
902	7.793339952
903	7.793166543
904	7.793026979
905	7.792889926
906	7.79279803
907	7.792672095
908	7.792503439
909	7.792362407
910	7.792238635
911	7.792066573
912	7.791956077
913	7.791820104
914	7.791693924
915	7.791579422
916	7.791433588
917	7.791302568
918	7.791187977
919	7.791084575
920	7.790962862
921	7.790808657
922	7.790696956
923	7.790575043
924	7.790459771
925	7.790313245
926	7.790165227
927	7.790032107
928	7.789919233
929	7.789824084
930	7.789657036
931	7.789509916
932	7.789375921
933	7.78926608
934	7.789148247
935	7.789017033
936	7.788901081
937	7.788779621
938	7.788672578
939	7.788565434
940	7.788443465
941	7.788292862
942	7.788186648
943	7.788034315
944	7.787877352
945	7.787744486
946	7.787628593
947	7.787534005
948	7.787406761
949	7.787267237
950	7.787153862
951	7.787031427
952	7.786906329
953	7.786788439
954	7.786648179
955	7.78650829
956	7.786370499
957	7.786253525
958	7.786134903
959	7.786002485
960	7.785853615
961	7.785704506
962	7.785548534
963	7.78540308
964	7.785305176
965	7.785194805
966	7.785088893
967	7.78496025
968	7.784856071
969	7.784705187
970	7.784577341
971	7.784456182
972	7.784341184
973	7.784215496
974	7.784063394
975	7.783960529
976	7.783836629
977	7.783724464
978	7.783606038
979	7.78346312
980	7.783339047
981	7.783207476
982	7.783089284
983	7.782970529
984	7.782858133
985	7.782713888
986	7.782595744
987	7.782489573
988	7.782341209
989	7.782198961
990	7.782075068
991	7.781943017
992	7.781845777
993	7.781690225
994	7.781574002
995	7.781438196
996	7.781330101
997	7.781189766
998	7.781066461
999	7.780913551
1000	7.780781074
1001	7.780648061
1002	7.78052876
1003	7.780395965
1004	7.780232602
1005	7.780110432
1006	7.779969394
1007	7.779811271
1008	7.779675539
1009	7.779549116
1010	7.779401861
1011	7.779302705
1012	7.779168516
1013	7.779027594
1014	7.778910846
1015	7.7788042
1016	7.778702746
1017	7.778562655
1018	7.778430792
1019	7.778312319
1020	7.778192538
1021	7.778060026
1022	7.777942112
1023	7.777820451
1024	7.777691512
1025	7.777550525
1026	7.777417359
1027	7.777314725
1028	7.777192202
1029	7.777075593
1030	7.776936173
1031	7.776823902
1032	7.776672
1033	7.776564264
1034	7.776408666
1035	7.776255875
1036	7.776130671
1037	7.775992261
1038	7.775879438
1039	7.775756572
1040	7.775597033
1041	7.775480019
1042	7.775354885
1043	7.775222021
1044	7.775086252
1045	7.774966288
1046	7.774819267
1047	7.774687344
1048	7.774552017
1049	7.774421428
1050	7.774290505
1051	7.774147266
1052	7.774017528
1053	7.773909805
1054	7.773767125
1055	7.773652503
1056	7.773544999
1057	7.773419353
1058	7.773301723
1059	7.773188847
1060	7.773073112
1061	7.772950869
1062	7.772815419
1063	7.772686864
1064	7.772533514
1065	7.772404285
1066	7.772302322
1067	7.772177125
1068	7.772075156
1069	7.771957175
1070	7.771840795
1071	7.771715025
1072	7.771572615
1073	7.771426715
1074	7.771284863
1075	7.771139248
1076	7.77099692
1077	7.770859498
1078	7.770739877
1079	7.770597876
1080	7.770480072
1081	7.770330714
1082	7.770243028
1083	7.770110717
1084	7.769995553
1085	7.769860661
1086	7.769720274
1087	7.769597559
1088	7.769465957
1089	7.76931311
1090	7.769208244
1091	7.769056446
1092	7.768949941
1093	7.768852992
1094	7.768747745
1095	7.768634308
1096	7.768514974
1097	7.768400932
1098	7.768258089
1099	7.76812523
1100	7.76801425
1101	7.767908311
1102	7.767797857
1103	7.767654597
1104	7.767518864
1105	7.767412856
1106	7.767281803
1107	7.767118936
1108	7.767019813
1109	7.766877716
1110	7.766736207
1111	7.766586936
1112	7.766452617
1113	7.766332604
1114	7.766169583
1115	7.766040824
1116	7.765924357
1117	7.765798703
1118	7.76567977
1119	7.765557187
1120	7.765432061
1121	7.765304898
1122	7.765185065
1123	7.76504904
1124	7.764940524
1125	7.764821999
1126	7.764693677
1127	7.76453413
1128	7.764397677
1129	7.76425835
1130	7.764158151
1131	7.764022486
1132	7.763899973
1133	7.763774169
1134	7.763619617
1135	7.763484576
1136	7.763336215
1137	7.763200571
1138	7.763110914
1139	7.762939039
1140	7.762848306
1141	7.762740061
1142	7.762632007
1143	7.762489342
1144	7.762361278
1145	7.762227264
1146	7.762082752
1147	7.761959647
1148	7.761835977
1149	7.761713105
1150	7.761624014
1151	7.761469666
1152	7.761374592
1153	7.761238707
1154	7.761092008
1155	7.760972996
1156	7.760866706
1157	7.760747465
1158	7.760639686
1159	7.760533252
1160	7.760387771
1161	7.760268279
1162	7.760132681
1163	7.760004596
1164	7.759862596
1165	7.759721903
1166	7.75961271
1167	7.759508856
1168	7.759354721
1169	7.759230748
1170	7.759094928
1171	7.75898097
1172	7.758853455
1173	7.75872331
1174	7.758584766
1175	7.758462439
1176	7.75830528
1177	7.758184621
1178	7.758071366
1179	7.757950696
1180	7.75783875
1181	7.757699735
1182	7.757573642
1183	7.757444695
1184	7.757336145
1185	7.75720654
1186	7.757104872
1187	7.756964185
1188	7.756826729
1189	7.756686796
1190	7.756578473
1191	7.756481446
1192	7.756362823
1193	7.756236571
1194	7.756144632
1195	7.756015066
1196	7.755878741
1197	7.755773836
1198	7.755694359
1199	7.755562091
1200	7.755398449
1201	7.755278354
1202	7.755107854
1203	7.754952212
1204	7.754849599
1205	7.754749871
1206	7.754637491
1207	7.754532922
1208	7.754399512
1209	7.754248238
1210	7.754112829
1211	7.754002544
1212	7.753879315
1213	7.753742834
1214	7.753634814
1215	7.753529036
1216	7.753419554
1217	7.753328188
1218	7.753171874
1219	7.753031088
1220	7.752932381
1221	7.752806481
1222	7.752698048
1223	7.752557484
1224	7.752440006
1225	7.752298035
1226	7.752181144
1227	7.752081915
1228	7.751975269
1229	7.751825531
1230	7.751678896
1231	7.751561324
1232	7.751397594
1233	7.751248294
1234	7.751104455
1235	7.750992176
1236	7.75087793
1237	7.750762369
1238	7.750649291
1239	7.750524779
1240	7.75038793
1241	7.750279122
1242	7.750154423
1243	7.750037615
1244	7.749888943
1245	7.74975647
1246	7.749640009
1247	7.749516817
1248	7.74935812
1249	7.749226814
1250	7.749104381
1251	7.748975912
1252	7.748869989
1253	7.748761681
1254	7.748593318
1255	7.748492634
1256	7.748393033
1257	7.74828356
1258	7.748162261
1259	7.748033144
1260	7.747922772
1261	7.747790775
1262	7.747653321
1263	7.747497066
1264	7.747372524
1265	7.74723603
1266	7.747106989
1267	7.746990889
1268	7.746843536
1269	7.74671805
1270	7.746558227
1271	7.746441065
1272	7.746309511
1273	7.746211687
1274	7.746067539
1275	7.745942434
1276	7.745823882
1277	7.745662866
1278	7.745546115
1279	7.745435103
1280	7.745323198
1281	7.745204822
1282	7.745081443
1283	7.744968127
1284	7.74485545
1285	7.744726466
1286	7.744592228
1287	7.744479514
1288	7.744340722
1289	7.744200264
1290	7.744083342
1291	7.743967473
1292	7.743834574
1293	7.74372777
1294	7.743608209
1295	7.743483087
1296	7.743391984
1297	7.74327614
1298	7.743169277
1299	7.743032536
1300	7.742896137
1301	7.742760819
1302	7.742652314
1303	7.742525596
1304	7.742404252
1305	7.742293574
1306	7.742145982
1307	7.742035142
1308	7.741902538
